churn_event_id,account_id,churn_date,reason_code,refund_amount_usd,preceding_upgrade_flag,preceding_downgrade_flag,is_reactivation,feedback_text
CE-9dafd496,A-702e67,2021-08-19,support,0.0,False,True,False,Budget cuts forced us to cancel.
CE-ddf788e3,A-3d75c1,2023-03-07,competitor,0.0,False,False,False,Product lacked key features we needed.
CE-3e8a4b5d,A-9d4ff6,2022-09-01,budget,0.0,False,False,False,Tool didn't integrate well with our stack.
CE-73f7dfe9,A-205093,2023-08-14,competitor,468.83,False,False,False,Support response times were too slow.
CE-71156f21,A-e1fa7f,2023-06-09,unknown,0.0,True,False,False,Team no longer needed this functionality.
CE-a9c5ebcc,A-51e832,2023-08-30,budget,32.48,False,False,False,Product lacked key features we needed.
CE-b66c4890,A-51ca60,2022-04-11,budget,498.88,False,False,False,Team no longer needed this functionality.
CE-721154aa,A-40fc24,2024-05-07,features,0.0,False,False,False,Pricing increased beyond our budget.
CE-44dbe774,A-715861,2021-10-01,competitor,0.0,False,False,False,Budget cuts forced us to cancel.
CE-fcc26f55,A-9175e6,2021-07-08,pricing,0.0,False,False,False,Tool didn't integrate well with our stack.
CE-8abf68ec,A-674f3d,2022-11-27,support,0.0,True,True,True,Product lacked key features we needed.
CE-1c359039,A-87ec94,2022-11-29,pricing,0.0,False,True,False,Found a cheaper alternative.
CE-81bdab4c,A-91c9c6,2022-05-09,features,0.0,False,False,False,Found a cheaper alternative.
CE-e97b2fab,A-8ae5b4,2021-08-02,features,0.0,False,False,False,
CE-ee03b054,A-71c2db,2022-06-21,budget,0.0,False,False,False,Product lacked key features we needed.
CE-1c1ef966,A-275a5e,2022-02-26,features,0.0,False,False,False,
CE-1365de43,A-66d8db,2021-06-23,competitor,0.0,False,False,True,Found a cheaper alternative.
CE-f9cfbd72,A-176774,2024-08-13,budget,442.2,True,False,False,Tool didn't integrate well with our stack.
CE-e95fd0eb,A-518980,2021-02-27,support,0.0,False,True,False,Budget cuts forced us to cancel.
CE-90957c52,A-87d27b,2021-09-02,pricing,0.0,False,False,False,Support response times were too slow.
CE-2d6b717c,A-ed72be,2023-05-29,unknown,357.47,False,False,False,Support response times were too slow.
CE-f0d53b82,A-31d091,2023-09-21,support,0.0,True,True,False,Support response times were too slow.
CE-98da6b9f,A-9a8bb2,2022-01-02,competitor,84.38,False,False,False,Support response times were too slow.
CE-e8916e21,A-2411d9,2022-10-22,competitor,267.93,True,False,True,Tool didn't integrate well with our stack.
CE-fde01f25,A-518980,2024-10-10,competitor,0.0,True,False,True,Tool didn't integrate well with our stack.
CE-0449ede7,A-eca077,2022-08-14,pricing,1.19,False,False,False,Product lacked key features we needed.
CE-1463eb11,A-b46328,2022-03-18,support,385.58,False,False,True,Team no longer needed this functionality.
CE-f2f192a8,A-8e171c,2024-08-27,support,0.0,False,False,False,Budget cuts forced us to cancel.
CE-cf9ba5ec,A-780b56,2021-10-07,competitor,0.0,True,False,False,Product lacked key features we needed.
CE-9d47ec93,A-9aab82,2023-10-07,features,0.0,False,True,False,Team no longer needed this functionality.
CE-e48b26ee,A-825eb0,2024-05-01,budget,0.0,False,True,False,Team no longer needed this functionality.
CE-cb1aa5ed,A-46fc8d,2022-05-20,competitor,0.0,False,False,False,
CE-14b71d04,A-9e2b64,2022-05-01,budget,0.0,False,False,False,Found a cheaper alternative.
CE-61d59143,A-87ec94,2024-04-26,support,0.0,False,False,False,Tool didn't integrate well with our stack.
CE-1a030510,A-66ee96,2024-11-02,competitor,0.0,True,False,False,Found a cheaper alternative.
CE-fe831569,A-bd844f,2023-11-10,unknown,0.0,False,False,False,Product lacked key features we needed.
CE-a7b25117,A-42ab46,2023-05-24,unknown,0.0,True,False,False,
CE-f86073d0,A-dec46e,2022-07-05,pricing,81.9,False,False,False,Tool didn't integrate well with our stack.
CE-90f6b3fb,A-3f7dbc,2022-12-31,support,0.0,True,False,False,Team no longer needed this functionality.
CE-dd4e09af,A-2312e2,2022-06-20,pricing,0.0,True,False,False,Tool didn't integrate well with our stack.
CE-be5867a1,A-ba42fc,2022-01-04,features,0.0,False,False,False,Budget cuts forced us to cancel.
CE-f85212d8,A-9e2b64,2022-12-01,budget,0.0,False,False,False,Support response times were too slow.
CE-c974e6f0,A-253b47,2021-05-10,features,0.0,True,False,False,Budget cuts forced us to cancel.
CE-30ab062f,A-d07cf7,2024-07-30,unknown,0.0,False,False,False,Pricing increased beyond our budget.
CE-fde8203c,A-9f9cca,2022-05-08,competitor,26.98,False,True,False,Support response times were too slow.
CE-fd4db1dd,A-9f521d,2024-04-07,budget,0.0,False,False,False,Budget cuts forced us to cancel.
CE-229441bf,A-77cb78,2023-04-10,budget,0.0,False,False,False,Found a cheaper alternative.
CE-dc1bb5ac,A-ea1711,2021-03-05,competitor,0.0,False,True,False,Support response times were too slow.
CE-a7391812,A-66ee96,2023-10-13,support,0.0,False,False,True,Budget cuts forced us to cancel.
CE-9373b5c8,A-275502,2021-09-08,unknown,0.0,True,False,False,Team no longer needed this functionality.
CE-d30c837f,A-9c8b42,2021-09-05,features,0.0,False,False,False,Tool didn't integrate well with our stack.
CE-054b6060,A-186adc,2023-09-15,budget,0.0,True,True,False,Tool didn't integrate well with our stack.
CE-e0e55bb8,A-abbbd0,2021-01-19,budget,0.0,False,False,False,Support response times were too slow.
CE-c4384f16,A-e1796c,2023-05-17,unknown,0.0,True,False,False,Tool didn't integrate well with our stack.
CE-5b8bad28,A-38094a,2021-10-22,unknown,0.0,True,False,False,Pricing increased beyond our budget.
CE-8b50ec44,A-253b47,2021-10-05,pricing,0.0,False,False,False,Budget cuts forced us to cancel.
CE-3d49d0c3,A-faad0f,2023-11-05,pricing,0.0,False,False,False,Support response times were too slow.
CE-fa051f38,A-9aab82,2022-08-10,support,0.0,False,False,False,Tool didn't integrate well with our stack.
CE-eb949c87,A-b36d98,2022-10-22,features,0.0,False,False,False,Product lacked key features we needed.
CE-f7c9ca2b,A-95248b,2021-04-10,competitor,0.0,False,False,False,Product lacked key features we needed.
CE-4bf4a74f,A-f60e4b,2023-06-08,unknown,0.0,False,False,False,
CE-c23493c5,A-df55b3,2024-04-10,pricing,238.69,False,False,False,Team no longer needed this functionality.
CE-601c8c0b,A-77d382,2023-11-19,pricing,472.74,False,False,False,Pricing increased beyond our budget.
CE-d9c2b409,A-37b909,2024-08-15,unknown,0.0,False,False,False,Pricing increased beyond our budget.
CE-cc33f8db,A-410bfd,2021-12-28,unknown,168.97,False,False,False,Support response times were too slow.
CE-7233ecf6,A-8a8f8a,2024-11-13,pricing,0.0,False,False,False,Tool didn't integrate well with our stack.
CE-8d07b427,A-3c413d,2023-12-06,budget,0.0,True,False,False,Product lacked key features we needed.
CE-b7dc439c,A-7aee9c,2021-07-17,unknown,0.0,False,False,False,Found a cheaper alternative.
CE-b3c4fccf,A-85a324,2023-07-06,budget,0.0,False,False,False,Pricing increased beyond our budget.
CE-4a39f862,A-503d27,2024-09-20,competitor,0.0,False,False,False,Team no longer needed this functionality.
CE-bdfecdd3,A-67e8d1,2022-03-14,pricing,69.66,False,False,False,
CE-8f2d9f97,A-c00b52,2021-08-29,features,0.0,False,False,False,Tool didn't integrate well with our stack.
CE-8accbc16,A-d87876,2023-01-04,pricing,0.0,True,False,False,Budget cuts forced us to cancel.
CE-9c147ff1,A-572cc7,2024-09-03,support,489.51,False,False,False,Found a cheaper alternative.
CE-d0a47f56,A-9a8bb2,2021-10-06,unknown,180.69,False,False,False,
CE-074c5245,A-9f521d,2024-03-18,unknown,296.22,False,True,False,Product lacked key features we needed.
CE-20425487,A-a481e9,2023-03-11,features,0.0,False,False,False,Support response times were too slow.
CE-684f571b,A-0c8a26,2024-06-08,unknown,0.0,False,False,False,Product lacked key features we needed.
CE-a5e2a206,A-d9ad81,2023-06-12,budget,379.37,False,False,False,Tool didn't integrate well with our stack.
CE-3ebd8040,A-0bcb7a,2023-08-29,competitor,0.0,False,False,False,Pricing increased beyond our budget.
CE-93124ad9,A-36c0b3,2023-02-09,pricing,0.0,True,False,False,Product lacked key features we needed.
CE-5e84b730,A-168fe2,2024-08-24,unknown,0.0,True,False,False,Tool didn't integrate well with our stack.
CE-20805e5a,A-37b909,2023-07-01,support,0.0,True,False,False,Found a cheaper alternative.
CE-0fc50dd5,A-7aee9c,2022-03-03,unknown,36.06,False,True,True,Tool didn't integrate well with our stack.
CE-fb8f1c75,A-314379,2023-03-13,budget,0.0,False,False,False,Team no longer needed this functionality.
CE-42164cdb,A-4ef13f,2024-09-27,support,0.0,True,False,False,Pricing increased beyond our budget.
CE-2100347d,A-fc24f9,2021-01-22,budget,0.0,False,True,False,Product lacked key features we needed.
CE-952355fc,A-b36d98,2021-02-10,features,453.01,False,False,False,Team no longer needed this functionality.
CE-84f9ec9b,A-1f7327,2022-09-28,pricing,416.37,True,False,False,Tool didn't integrate well with our stack.
CE-0caf0f10,A-144089,2021-07-26,budget,0.0,False,False,False,Found a cheaper alternative.
CE-7778a256,A-78d2ec,2021-02-18,pricing,0.0,False,False,True,Found a cheaper alternative.
CE-20ef5c98,A-a54ab8,2023-10-01,pricing,213.32,False,False,False,Pricing increased beyond our budget.
CE-37466f9d,A-66b64e,2024-11-12,unknown,0.0,False,False,False,Tool didn't integrate well with our stack.
CE-f5f976e7,A-f1d958,2021-09-25,pricing,0.0,True,True,False,Product lacked key features we needed.
CE-c6f0467f,A-7e69c7,2024-05-28,budget,0.0,False,False,False,Support response times were too slow.
CE-efc84cb1,A-299f66,2023-06-04,features,0.0,False,False,False,Budget cuts forced us to cancel.
CE-7fcb8b91,A-579d6a,2022-07-27,competitor,0.0,False,False,False,Found a cheaper alternative.
CE-3074011f,A-8ae5b4,2024-01-03,unknown,0.0,False,False,False,Tool didn't integrate well with our stack.
CE-e96ac9cd,A-2c1987,2024-11-11,unknown,0.0,True,False,False,Support response times were too slow.
CE-5830beac,A-626bb3,2023-12-22,competitor,0.0,False,True,False,Team no longer needed this functionality.
CE-dc8964bb,A-daa5e3,2022-01-24,budget,0.0,True,False,True,Product lacked key features we needed.
CE-d291b605,A-aeac12,2023-10-03,unknown,0.0,False,False,False,Team no longer needed this functionality.
CE-2ac750c2,A-df55b3,2023-12-28,budget,0.0,False,False,False,
CE-f4939a67,A-ef8d69,2021-01-12,competitor,0.0,False,False,False,Found a cheaper alternative.
CE-aecf61aa,A-01c648,2024-12-01,competitor,0.0,False,False,True,Team no longer needed this functionality.
CE-eb6b2a11,A-df2118,2022-12-08,pricing,0.0,True,False,False,Pricing increased beyond our budget.
CE-0ddcc776,A-daa5e1,2022-05-11,competitor,0.0,False,True,False,
CE-ce1cb18b,A-d5aaf6,2021-11-12,support,0.0,False,False,False,
CE-2962f319,A-1aa01f,2021-03-08,budget,0.0,True,False,False,Budget cuts forced us to cancel.
CE-3799627d,A-0d7286,2024-07-29,features,0.0,True,False,False,Team no longer needed this functionality.
CE-d282654c,A-105528,2024-12-06,features,0.0,False,False,False,Pricing increased beyond our budget.
CE-54a72d64,A-a2e460,2022-05-06,unknown,0.0,False,False,False,Found a cheaper alternative.
CE-31e1697a,A-31d091,2022-05-27,pricing,0.0,False,False,False,Found a cheaper alternative.
CE-0d3360cd,A-26efad,2024-11-28,features,0.0,False,False,False,Found a cheaper alternative.
CE-1401798d,A-26efad,2024-09-03,support,0.0,False,False,False,Support response times were too slow.
CE-0213376a,A-23c1ea,2023-02-16,budget,0.0,False,False,False,Found a cheaper alternative.
CE-960771e4,A-57e924,2024-11-25,budget,0.0,True,False,True,Team no longer needed this functionality.
CE-d295cd84,A-168fe2,2023-06-13,budget,0.0,False,True,False,Team no longer needed this functionality.
CE-55574cb6,A-819eaf,2024-12-07,support,0.0,False,False,False,Product lacked key features we needed.
CE-2befb159,A-674f3d,2021-12-02,features,154.5,False,False,False,Support response times were too slow.
CE-0bc87774,A-23c1ea,2021-12-27,support,0.0,False,True,False,Tool didn't integrate well with our stack.
CE-58c80295,A-b32d86,2023-02-17,unknown,423.11,False,False,False,Support response times were too slow.
CE-3d5a9fd4,A-246226,2021-09-01,pricing,0.0,True,True,False,
CE-77cffd4e,A-c812ae,2021-07-11,support,0.0,False,False,False,Budget cuts forced us to cancel.
CE-5cf58a0b,A-144089,2024-05-02,pricing,0.0,False,False,False,
CE-c85fcb68,A-cc4e00,2021-10-23,unknown,347.36,False,False,False,Tool didn't integrate well with our stack.
CE-0ee7c237,A-89fca7,2024-07-06,features,0.0,False,False,True,Pricing increased beyond our budget.
CE-32e85670,A-9e5b2d,2021-03-22,unknown,0.0,False,False,False,Tool didn't integrate well with our stack.
CE-5a5e2251,A-001d08,2024-11-25,support,0.0,True,False,False,Found a cheaper alternative.
CE-cade2742,A-f3aa45,2021-06-17,features,0.0,False,False,False,Product lacked key features we needed.
CE-62e3e1c0,A-e6ef8b,2021-02-18,budget,0.0,False,False,False,Tool didn't integrate well with our stack.
CE-5bb1eaf8,A-b56ab1,2023-02-27,unknown,0.0,False,False,False,Found a cheaper alternative.
CE-d54cfb58,A-4064bb,2024-05-28,features,0.0,False,False,False,Tool didn't integrate well with our stack.
CE-4b8aefd8,A-643967,2024-01-06,pricing,0.0,False,True,True,Pricing increased beyond our budget.
CE-e395b1c3,A-d5aaf6,2021-04-01,unknown,0.0,True,False,True,Support response times were too slow.
CE-0ed2164d,A-fb30f4,2023-04-16,features,0.0,True,False,False,Found a cheaper alternative.
CE-ad5f6e24,A-e23d29,2024-04-17,competitor,0.0,True,False,True,Found a cheaper alternative.
CE-d182840c,A-99995c,2021-03-20,budget,0.0,False,False,False,Tool didn't integrate well with our stack.
CE-a70da14b,A-057df9,2023-05-07,support,0.0,False,False,False,Product lacked key features we needed.
CE-85760fbd,A-e71149,2023-12-27,pricing,0.0,False,True,False,Support response times were too slow.
CE-d9120628,A-671cbf,2024-11-28,features,0.0,False,False,False,Product lacked key features we needed.
CE-b3d45b5d,A-2cf08b,2021-01-07,pricing,205.56,False,False,False,Team no longer needed this functionality.
CE-b4ece75c,A-9a2c4f,2021-06-25,unknown,120.02,False,False,False,
CE-2778d4ec,A-29b014,2023-01-20,competitor,0.0,False,True,True,Found a cheaper alternative.
CE-90960176,A-fa82d4,2024-08-26,support,0.0,True,False,False,Team no longer needed this functionality.
CE-005c4159,A-274168,2023-11-15,competitor,0.0,False,False,False,Product lacked key features we needed.
CE-4cbdd09f,A-9d992c,2023-08-01,support,0.0,False,False,True,Team no longer needed this functionality.
CE-ee2e27b8,A-df55b3,2022-03-24,unknown,307.78,True,False,False,
CE-bc2558d0,A-efbe71,2023-10-26,support,0.0,True,False,True,Pricing increased beyond our budget.
CE-21c61c92,A-3cccbc,2022-12-22,pricing,0.0,False,False,False,Budget cuts forced us to cancel.
CE-4fc71515,A-2ca16b,2021-09-04,unknown,0.0,False,True,False,Pricing increased beyond our budget.
CE-1ed43098,A-09489d,2023-12-11,support,0.0,False,False,False,Found a cheaper alternative.
CE-f58b5b97,A-9f63c6,2022-01-14,budget,0.0,False,False,False,Tool didn't integrate well with our stack.
CE-c59defc4,A-9b417b,2021-07-01,unknown,0.0,True,False,False,Found a cheaper alternative.
CE-2968a76f,A-29b014,2021-05-19,unknown,0.0,False,False,False,Budget cuts forced us to cancel.
CE-3d992dba,A-9e2b64,2021-03-05,pricing,0.0,True,False,False,Tool didn't integrate well with our stack.
CE-4c30cbb4,A-9175e6,2022-03-02,unknown,34.29,False,False,False,Pricing increased beyond our budget.
CE-d0ce3524,A-9e9f30,2022-11-05,features,0.0,False,False,False,Product lacked key features we needed.
CE-6c452d15,A-bc0a07,2021-06-28,competitor,0.0,True,False,False,Pricing increased beyond our budget.
CE-8f2ec424,A-7cb77a,2021-09-15,features,0.0,False,False,False,Tool didn't integrate well with our stack.
CE-2e431f83,A-a54ab8,2023-01-27,features,347.75,False,False,False,
CE-d6a4de93,A-f4c25c,2021-09-17,pricing,0.0,False,False,False,Found a cheaper alternative.
CE-d5f317fd,A-2b8e44,2023-05-28,budget,0.0,False,False,False,Tool didn't integrate well with our stack.
CE-bcdc0add,A-c0f13b,2021-03-13,competitor,0.0,False,False,False,Found a cheaper alternative.
CE-53336388,A-ed6bb8,2024-08-22,pricing,295.68,False,False,False,Product lacked key features we needed.
CE-f5f3b3d6,A-27e0e9,2024-06-23,unknown,0.0,False,False,False,Support response times were too slow.
CE-267e2e72,A-4983af,2024-05-16,support,0.0,True,False,False,Tool didn't integrate well with our stack.
CE-4bbd09d0,A-04b853,2023-06-04,features,444.79,False,False,False,Budget cuts forced us to cancel.
CE-f8ebb27a,A-1788ce,2021-09-08,support,0.0,False,False,False,Team no longer needed this functionality.
CE-61ddbdf9,A-bc1b91,2021-06-20,unknown,0.0,False,True,False,Pricing increased beyond our budget.
CE-044e9a91,A-ab9ba5,2024-08-30,features,387.08,False,False,False,
CE-d4a48d3e,A-8e16f1,2021-09-27,competitor,233.56,False,False,False,Found a cheaper alternative.
CE-33636926,A-819eaf,2023-11-25,support,466.01,True,False,False,Team no longer needed this functionality.
CE-a244fa66,A-09bda1,2023-08-31,pricing,423.4,False,False,False,Tool didn't integrate well with our stack.
CE-cf78d582,A-a3efac,2021-07-01,pricing,0.0,True,False,False,Product lacked key features we needed.
CE-c82357cb,A-d87876,2023-04-23,budget,0.0,False,False,False,Team no longer needed this functionality.
CE-bf59d2f5,A-a2e460,2022-02-23,support,0.0,False,False,False,Found a cheaper alternative.
CE-5d38e1ec,A-b543ff,2022-05-08,competitor,0.0,False,False,False,Tool didn't integrate well with our stack.
CE-714e1f22,A-4ef13f,2021-07-10,unknown,289.21,False,False,False,Budget cuts forced us to cancel.
CE-a901a126,A-95248b,2024-12-31,support,0.0,False,False,False,Support response times were too slow.
CE-de2d95db,A-54f16c,2022-01-27,competitor,0.0,False,False,False,Support response times were too slow.
CE-47392835,A-393763,2023-11-07,competitor,0.0,True,False,False,Tool didn't integrate well with our stack.
CE-78e4af51,A-68948f,2022-08-29,competitor,0.0,False,False,False,Pricing increased beyond our budget.
CE-0e49356e,A-b1f3cb,2021-07-19,support,0.0,True,False,False,Budget cuts forced us to cancel.
CE-ee8ad46f,A-36c0b3,2024-11-09,unknown,0.0,True,False,False,Found a cheaper alternative.
CE-6615085e,A-949e9c,2021-04-24,budget,0.0,False,False,False,Found a cheaper alternative.
CE-48a45b93,A-8e171c,2022-03-17,support,497.38,False,False,False,Pricing increased beyond our budget.
CE-3aa85956,A-27e0e9,2023-03-14,pricing,0.0,False,False,False,Tool didn't integrate well with our stack.
CE-c4f2aa7e,A-216da3,2022-07-18,budget,0.0,False,False,False,Support response times were too slow.
CE-23315c35,A-430daf,2022-04-06,support,7.59,False,False,False,Team no longer needed this functionality.
CE-a68ae1bf,A-9d9ed2,2022-09-06,unknown,0.0,True,False,False,Pricing increased beyond our budget.
CE-c122bb8a,A-76eede,2024-01-28,competitor,0.0,False,False,False,Support response times were too slow.
CE-c22fb736,A-390557,2023-02-28,pricing,0.0,False,False,False,Budget cuts forced us to cancel.
